date-time,year,week,avg_comment_length,avg_comment_ttr,avg_comment_fkgl
2018-05-28,2018,22,240.16666666666666,0.5851093988259878,11.058333333333332
2018-06-04,2018,23,252.11666666666667,0.54548886036836,7.951666666666667
2018-06-11,2018,24,273.0,0.5571634291753362,10.9625
2018-06-18,2018,25,219.467032967033,0.5794046746351887,10.772161172161171
2018-06-25,2018,26,237.5,0.5704643695306489,11.424999999999999
2018-07-02,2018,27,312.0,0.5404699738903395,6.1
2018-07-09,2018,28,226.38888888888889,0.5528539118171872,16.505555555555556
2018-07-23,2018,30,178.0,0.5555826664064025,9.45
2018-08-20,2018,34,218.7,0.5842917695333163,7.779999999999999
2018-09-10,2018,37,349.2647058823529,0.49223355903303007,8.014705882352942
2018-09-24,2018,39,305.2,0.5384660050379948,10.44
2018-10-01,2018,40,244.93333333333334,0.5549241216234169,10.72
